Symbol,Description,Price,Price - Currency,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Industry,Analyst rating,Price to earnings ratio forward,"Price to earnings ratio forward Non-GAAP, Annual"
NVDA,NVIDIA Corporation,225.73,USD,-2.0098975516582844,122962048,0.7718881007084482,5440093014413.363,USD,28.535130078628676,7.9106,USD,125.14871211043119,0.121548880013891,Electronic technology,Semiconductors,Strong buy,18.81879054526889,24.389972461470425
AAPL,Apple Inc.,316.22,USD,-1.1719848735818983,35477016,0.957146038660817,4614971518388.078,USD,36.25004298831865,8.7233,USD,32.60922440789274,0.33128105759915,Electronic technology,Telecommunications equipment,Buy,34.160929066648926,35.804896264648704
GOOG,Alphabet Inc.,335.38,USD,0.020876204109627858,14150281,0.8816048618066019,4122816187110.904,USD,16.848778968415445,19.9053,USD,112.01789423230548,0.253496764188363,Technology services,Internet software/Services,Strong buy,25.037014663353382,16.306207809000036
GOOGL,Alphabet Inc.,338.36,USD,-0.029545588843575575,22915741,0.9568897504650029,4120737823152.7,USD,16.99848783992203,19.9053,USD,112.01789423230548,0.251137505170478,Technology services,Internet software/Services,Strong buy,25.254881284293862,16.449641689408733
MSFT,Microsoft Corporation,493.95,USD,-1.1506904142485492,18882317,0.8535380776575793,3667848244947.571,USD,27.525159650941188,17.9454,USD,31.54908515130189,0.728437062237343,Technology services,Packaged software,Strong buy,25.166946605109082,25.043240720578122
AMZN,"Amazon.com, Inc.",256.97,USD,-0.595721635526658,29397908,0.918488763011845,2771759329726.687,USD,20.669047504142338,12.4326,USD,89.7295812477109,0,Retail trade,Internet retail,Strong buy,27.477868110082568,20.21137271770642
SPCX,Space Exploration Technologies Corp,153.47,USD,3.7309901993916936,85839650,1.3793200314020904,2082751960025.416,USD,,,,,0,Communications,Specialty telecommunications,Buy,105.76566568208413,
AVGO,Broadcom Inc.,368.56,USD,2.9799242794674474,30463847,1.1406966777042407,1753453659767.6404,USD,47.039603834028924,7.8351,USD,100.17117163149555,0.709705360510764,Electronic technology,Semiconductors,Strong buy,21.32810878770627,31.73672092575884
META,"Meta Platforms, Inc.",613.48,USD,-0.5334241289297411,18909714,1.1331639713964954,1562844112557.8318,USD,23.108593211464648,26.5477,USD,-3.857269092594742,0.340483486550902,Technology services,Internet software/Services,Strong buy,20.113130952029294,19.538414667276545
TSLA,"Tesla, Inc.",368.16,USD,3.9765024853140654,51078407,1.212740605873608,1454065392005.6045,USD,342.06076372758525,1.0763,USD,-37.67083622886263,0,Consumer durables,Motor vehicles,Buy,184.8174215118322,215.87618782917073
MU,"Micron Technology, Inc.",1000.26,USD,-1.6063506428353653,26603800,1.0606657571202038,1129686738446.3787,USD,22.64461051206531,44.1721,USD,697.287150515315,0.0521350790387472,Electronic technology,Semiconductors,Strong buy,6.962377089431805,13.63348276289767
LLY,Eli Lilly and Company,1123.91,USD,-2.2142757708637695,2403019,0.9688478566900289,1058000594947.6775,USD,38.19043056022781,29.4291,USD,95.1428306190653,0.582063061181875,Health technology,Pharmaceuticals: major,Buy,27.49982407511714,30.880925020412857
BRK.B,Berkshire Hathaway Inc. New,505.83,USD,-0.039523348418075734,4400877,1.0780461055065518,973861284348.9377,USD,12.718403882176935,39.7715,USD,36.302726637147536,0,Finance,Property/Casualty insurance,Neutral,23.22549043375921,22.809494030832564
SKHY,SK hynix Inc.,185.55,USD,4.830508474576278,23156303,1.7240920696004092,960380122514.8922,USD,12.05183164458301,15.396,USD,433.67534403272214,0,Electronic technology,Semiconductors,Strong buy,6.436929624463872,7.432858216597134
JPM,JP Morgan Chase & Co.,353.51,USD,-1.4304037474905185,5633145,1.076881552119343,939695469975.2367,USD,15.144154564537548,23.343,USD,19.772185022704537,1.6729868391702,Finance,Major banks,Buy,14.637344278693114,14.237020393119126
WMT,Walmart Inc.,106.05,USD,-1.0173604629456818,22664816,0.8462648019645691,841373768449.0769,USD,38.422520923154956,2.7601,USD,4.131140119218296,0.91235766287101,Retail trade,Specialty stores,Strong buy,35.323872109263185,36.69016959473017
AMD,"Advanced Micro Devices, Inc.",505.74,USD,5.898611721841827,28166284,1.794847700940274,825607906814.5189,USD,129.79340433722572,3.8965,USD,124.2848097622748,0,Electronic technology,Semiconductors,Buy,44.993276897348174,66.28047831926945
V,Visa Inc.,368.64,USD,-1.714346655291014,4930372,0.8307216718156292,688268351676.4354,USD,31.63667258824438,11.6523,USD,15.026505167767343,0.714533287119738,Finance,Finance/Rental/Leasing,Strong buy,25.468576837564658,27.873097561285427
ASML,ASML Holding N.V. - New York Registry Shares,1764.85,USD,2.9139065124090195,1354039,1.2308232534175725,666097424989.1814,USD,54.94380623268266,32.121,USD,23.100094276713666,0.449893695185669,Electronic technology,Semiconductors,Strong buy,32.362181820395605,40.29225669969923
XOM,ExxonMobil Holdings Corporation,160.66,USD,0.7462218599109536,12616378,0.901869044003064,660619804548.6089,USD,20.67483399392598,7.7708,USD,10.170981370686484,2.58355803599423,Energy minerals,Integrated oil,Buy,13.294221324871017,13.745703291302819
JNJ,Johnson & Johnson,269.12,USD,-2.2199614867565356,8085992,1.293055504694327,648551893388.1207,USD,31.192192679477966,8.6278,USD,-7.724064171122985,1.91839552374378,Health technology,Pharmaceuticals: major,Buy,22.556390347252915,23.232467373153984
INTC,Intel Corporation,104.47,USD,9.050104384133615,140265187,1.7115447170463378,552239455912.0027,USD,,-2.1201,USD,55.48626858150668,0,Electronic technology,Semiconductors,Buy,62.87097758442326,69.67565173778958
MA,Mastercard Incorporated,570.89,USD,-1.4364392879957268,2705851,0.9855859766048543,500105331522.2586,USD,31.407445714065656,18.1769,USD,22.61557038106353,0.58182697121942,Finance,Finance/Rental/Leasing,Strong buy,26.83711471095465,28.60809292977359
